May,5,24.9245
December,12,46.03949
May,5,21.8279
December,12,21.04339
February,2,57.25843
September,9,42.96091
July,7,17.41394
April,4,17.55809
November,11,16.63762
February,2,16.33314
September,9,17.68876
June,6,17.50841
March,3,16.24178
October,10,18.19474
January,1,20.09419
August,8,23.38803
May,5,34.23888
December,12,19.54939
March,3,22.51756
October,10,31.49765
July,7,15.98424
April,4,21.66576
November,11,37.88717
April,4,20.32761
November,11,21.2804
January,1,20.39809
August,8,23.87379
June,6,20.13819
March,3,16.43415
October,10,15.88352
January,1,15.3635
August,8,16.14887
May,5,15.29555
December,12,14.53979
February,2,15.27727
September,9,17.74668
July,7,20.79758
April,4,39.88606
November,11,18.68954
February,2,25.29349
September,9,33.30592